province,region,commune_id,commune_type,area_commune_km2,elevation_m,distance_to_urban_km,ndvi,road_density_km_per_km2,land_use_type,annual_rainfall_mm,nearest_market_km,census_population,census_density,n_microcensus_points,microcensus_total_persons,microcensus_total_households,microcensus_mean_density,has_microcensus_data,missing_mechanism,n_grid_cells_100m
Thanh Hóa,duyen_hai_mien_trung,COM_0296,xa,31.7172,210.9,95.0,0.4305,1.0177,agricultural,1887.02,36.75,5946,187.48,36,6061,1464,172.03,1,observed,3171
Vĩnh Long,dong_bang_song_cuu_long,COM_0297,xa,62.6042,4.24,96.25,0.8166,2.9729,forest,2260.2,21.76,17442,278.61,26,16761,3995,291.73,1,observed,6260
Sơn La,mien_nui_phia_bac,COM_0298,xa,32.6926,1817.02,39.31,0.6264,0.5897,mixed,1913.9,24.92,1529,46.79,27,1702,471,50.12,0,MCAR,3269
Hà Nội,dong_bang_song_hong,COM_0299,xa,57.6385,29.2,66.74,0.1676,1.6924,residential,1496.39,17.16,91182,1581.98,19,82171,15358,1448.74,1,observed,5763
Ninh Bình,dong_bang_song_hong,COM_0300,xa,62.9974,60.8,59.61,0.7903,1.1996,forest,2117.13,36.74,22319,354.29,33,25620,5902,432.22,1,observed,6299
Nghệ An,duyen_hai_mien_trung,COM_0301,phuong,13.1284,46.4,3.48,0.45,9.598,agricultural,1781.12,0.97,3762,286.56,7,3830,888,267.2,1,observed,1312
Sơn La,mien_nui_phia_bac,COM_0302,xa,69.3587,606.83,30.47,0.8572,1.565,forest,1918.72,48.83,3588,51.74,17,3170,902,49.22,1,observed,6935
Thanh Hóa,duyen_hai_mien_trung,COM_0303,thi_tran,34.8253,751.72,20.65,0.8716,4.7035,forest,1694.61,14.76,5258,150.99,19,5614,1391,157.06,1,observed,3482
Điện Biên,mien_nui_phia_bac,COM_0304,thi_tran,19.5787,706.98,29.68,0.3424,1.4993,agricultural,1936.47,12.31,1843,94.17,42,2034,438,99.52,1,observed,1957
Đắk Lắk,tay_nguyen,COM_0305,xa,53.3813,634.33,13.03,0.4352,0.4122,residential,1516.69,15.71,13208,247.44,46,12420,2562,238.92,0,MNAR_high_density,5338
Cần Thơ,dong_bang_song_cuu_long,COM_0306,phuong,8.5082,3.4,3.21,0.3157,7.1916,residential,2055.48,0.88,15238,1791.06,26,13821,2816,1603.68,1,observed,850
Lào Cai,mien_nui_phia_bac,COM_0307,xa,74.2317,2702.21,10.47,0.5929,1.1607,agricultural,2979.61,34.62,3468,46.73,15,3050,824,43.25,0,MNAR_high_density,7423
Nghệ An,duyen_hai_mien_trung,COM_0308,xa,30.5171,353.45,27.56,0.1981,2.6035,agricultural,1580.31,43.43,9212,301.89,5,9418,2089,278.41,1,observed,3051
Vĩnh Long,dong_bang_song_cuu_long,COM_0309,xa,71.3157,2.33,33.88,0.515,0.3507,mixed,2094.64,10.33,35488,497.62,46,33695,6355,498.23,1,observed,7131
Nghệ An,duyen_hai_mien_trung,COM_0310,xa,34.4151,250.7,62.68,0.8519,1.2288,forest,1701.4,49.67,3048,88.59,5,2612,676,77.75,1,observed,3441
Nghệ An,duyen_hai_mien_trung,COM_0311,xa,34.5864,219.31,95.12,0.1951,1.254,agricultural,1400.36,46.13,4215,121.88,7,4406,874,125.38,1,observed,3458
Thanh Hóa,duyen_hai_mien_trung,COM_0312,xa,45.4699,529.73,56.44,0.2052,0.9294,agricultural,2099.95,23.62,8319,182.97,22,8369,1876,192.03,1,observed,4546
Nghệ An,duyen_hai_mien_trung,COM_0313,xa,20.9295,10.07,40.48,0.5963,0.7596,agricultural,1978.22,5.61,6783,324.1,11,5990,1217,305.69,0,MNAR_high_density,2092
Quảng Ngãi,duyen_hai_mien_trung,COM_0314,xa,30.5863,261.93,81.07,0.7962,2.1029,forest,2576.37,37.79,3261,106.63,50,3399,651,103.39,1,observed,3058
Sơn La,mien_nui_phia_bac,COM_0315,xa,48.0796,1245.76,30.21,0.8709,1.3681,forest,2178.32,49.85,3542,73.69,41,3897,867,83.86,0,MNAR_high_density,4807
Sơn La,mien_nui_phia_bac,COM_0316,xa,41.0866,1907.31,29.2,0.325,0.9559,residential,1982.05,19.5,3708,90.26,44,3254,885,86.37,1,observed,4108
Quảng Ninh,dong_bang_song_hong,COM_0317,xa,74.876,213.87,49.04,0.8796,0.2053,forest,2490.82,42.62,17624,235.38,43,17707,3894,256.57,1,observed,7487
Lào Cai,mien_nui_phia_bac,COM_0318,xa,69.3975,2440.38,95.13,0.8832,1.341,forest,1959.51,44.04,5575,80.34,38,6283,1632,88.16,0,MNAR_high_density,6939
Gia Lai,tay_nguyen,COM_0319,thi_tran,17.7253,936.3,25.0,0.6146,4.6358,agricultural,1912.65,5.01,1114,62.9,12,1242,266,63.72,1,observed,1772
Quảng Ninh,dong_bang_song_hong,COM_0320,phuong,3.8616,73.94,2.39,0.2806,7.2484,residential,2230.52,4.46,2286,592.16,21,2162,398,573.51,1,observed,386
Hà Nội,dong_bang_song_hong,COM_0321,thi_tran,34.3289,24.09,17.8,0.8857,3.2325,forest,1454.99,7.71,41480,1208.32,49,45682,11227,1278.5,1,observed,3432
Hưng Yên,dong_bang_song_hong,COM_0322,xa,28.7499,4.53,57.12,0.2721,0.6947,agricultural,1384.05,31.68,17747,617.3,7,19499,4094,694.53,1,observed,2874
Thái Nguyên,mien_nui_phia_bac,COM_0323,xa,23.7658,102.61,35.85,0.5716,1.8482,agricultural,1994.72,47.04,2241,94.33,19,2151,430,83.7,1,observed,2376
Hà Tĩnh,duyen_hai_mien_trung,COM_0324,thi_tran,19.0686,253.71,18.4,0.2196,2.0088,mixed,2276.55,15.01,5309,278.42,32,4910,896,276.49,1,observed,1906
Đắk Lắk,tay_nguyen,COM_0325,xa,62.0764,445.44,16.0,0.1772,0.2939,residential,1609.98,42.55,14492,233.47,25,15463,3106,268.49,1,observed,6207
Thanh Hóa,duyen_hai_mien_trung,COM_0326,thi_tran,31.8692,621.95,20.82,0.721,3.6217,forest,1635.77,12.36,8465,265.64,38,9178,2287,261.03,1,observed,3186
Lào Cai,mien_nui_phia_bac,COM_0327,xa,47.7365,2839.07,94.43,0.2756,0.1592,forest,2993.83,43.32,1940,40.66,33,1987,438,42.08,0,MNAR_high_density,4773
Thanh Hóa,duyen_hai_mien_trung,COM_0328,phuong,6.008,163.78,5.7,0.45,8.9627,residential,1928.6,0.28,2409,401.08,35,2674,680,462.82,1,observed,600
Quảng Ngãi,duyen_hai_mien_trung,COM_0329,xa,52.211,606.48,86.01,0.7011,2.5314,forest,3089.15,26.47,5039,96.53,11,4784,1260,97.06,0,MNAR_high_density,5221
Hưng Yên,dong_bang_song_hong,COM_0330,phuong,7.5783,13.97,9.87,0.45,2.7423,residential,1263.28,3.78,9639,1271.97,32,10011,2118,1388.27,1,observed,757
Quảng Ngãi,duyen_hai_mien_trung,COM_0331,xa,62.0182,635.4,35.89,0.4488,0.7149,mixed,2103.29,32.8,17293,278.84,30,14922,3234,264.42,1,observed,6201
Tuyên Quang,mien_nui_phia_bac,COM_0332,xa,45.5249,526.19,37.96,0.6106,1.4129,agricultural,1528.02,45.98,3390,74.47,20,3526,674,70.34,0,MNAR_high_density,4552
Gia Lai,tay_nguyen,COM_0333,xa,55.138,1225.91,76.55,0.385,0.7829,forest,1643.6,4.52,4412,80.03,46,4533,935,87.01,1,observed,5513
Hà Tĩnh,duyen_hai_mien_trung,COM_0334,thi_tran,15.2624,562.64,24.86,0.5185,4.8595,agricultural,2359.15,4.07,2274,149.02,16,2002,500,133.65,0,MNAR_high_density,1526
Hà Nội,dong_bang_song_hong,COM_0335,xa,71.5159,34.87,13.95,0.8805,3.0565,forest,1671.64,7.28,123093,1721.2,40,135011,30776,1784.86,1,observed,7151
Tuyên Quang,mien_nui_phia_bac,COM_0336,xa,46.0241,735.14,34.66,0.3606,2.767,residential,1977.27,10.86,2697,58.6,23,2579,673,52.97,1,observed,4602
Quảng Ngãi,duyen_hai_mien_trung,COM_0337,xa,57.8897,245.36,41.28,0.6754,0.3326,forest,2411.34,20.17,7039,121.6,25,7712,1881,137.58,0,MNAR_high_density,5788
Nghệ An,duyen_hai_mien_trung,COM_0338,xa,47.8708,418.88,51.67,0.8424,1.9394,forest,1811.7,44.45,14803,309.24,49,16334,3546,321.5,1,observed,4787
Đồng Nai,dong_nam_bo,COM_0339,phuong,14.697,107.36,7.43,0.45,4.8185,mixed,2473.04,3.73,19531,1328.93,42,20993,4969,1447.23,1,observed,1469
Thanh Hóa,duyen_hai_mien_trung,COM_0340,xa,40.9244,687.93,96.06,0.3058,2.4603,agricultural,2149.57,5.59,9684,236.64,6,10251,2282,256.76,1,observed,4092
Thanh Hóa,duyen_hai_mien_trung,COM_0341,phuong,13.6139,500.4,5.93,0.45,5.1353,residential,2255.32,2.6,3505,257.51,23,3372,779,253.83,1,observed,1361
Lai Châu,mien_nui_phia_bac,COM_0342,xa,36.8174,1729.68,76.36,0.7328,0.636,forest,2610.46,17.36,1096,29.78,9,1252,314,35.52,1,observed,3681
Ninh Bình,dong_bang_song_hong,COM_0343,thi_tran,27.6937,54.72,18.47,0.3921,3.6378,residential,1645.35,11.48,41910,1513.35,38,36703,9200,1195.75,1,observed,2769
Hưng Yên,dong_bang_song_hong,COM_0344,xa,21.9686,5.59,23.33,0.4029,1.5714,agricultural,1363.96,5.4,11541,525.35,5,13240,2471,603.19,1,observed,2196
Lai Châu,mien_nui_phia_bac,COM_0345,phuong,3.2332,786.98,6.3,0.45,5.6437,mixed,2020.19,1.43,183,56.69,43,199,37,60.49,0,MNAR_high_density,323
Điện Biên,mien_nui_phia_bac,COM_0346,xa,49.5625,1673.56,95.82,0.2045,1.327,forest,2223.3,19.34,2010,40.57,45,1951,425,35.75,0,MNAR_high_density,4956
Nghệ An,duyen_hai_mien_trung,COM_0347,xa,57.2525,556.19,26.46,0.6363,0.4332,residential,1465.93,18.88,24495,427.85,34,26106,4805,443.01,1,observed,5725
Tây Ninh,dong_nam_bo,COM_0348,xa,77.4145,62.49,99.64,0.2411,3.1946,mixed,2281.64,6.36,11410,147.4,18,13115,3086,157.99,1,observed,7741
Hải Phòng,dong_bang_song_hong,COM_0349,xa,41.461,14.35,19.01,0.3187,1.2679,residential,1730.14,35.55,38224,921.93,31,41837,9516,1073.76,1,observed,4146
Vĩnh Long,dong_bang_song_cuu_long,COM_0350,xa,21.755,1.88,63.6,0.7344,3.5403,forest,1980.31,20.15,6280,288.68,23,5974,1532,269.62,1,observed,2175
Ninh Bình,dong_bang_song_hong,COM_0351,thi_tran,29.7794,62.47,23.31,0.353,1.4237,agricultural,1882.77,18.42,36992,1242.21,46,42147,9511,1287.21,0,MAR,2977
Lạng Sơn,mien_nui_phia_bac,COM_0352,xa,40.4207,1074.9,31.0,0.226,0.4667,residential,1368.75,33.35,1374,34.01,37,1528,283,34.37,1,observed,4042
Tây Ninh,dong_nam_bo,COM_0353,xa,48.6431,100.38,88.97,0.6462,3.5944,forest,2196.94,15.56,7724,158.8,9,8746,2105,188.39,1,observed,4864
Hà Nội,dong_bang_song_hong,COM_0354,xa,65.1397,25.21,76.28,0.4717,1.5032,agricultural,1325.03,37.82,71288,1094.4,42,64344,12503,967.73,1,observed,6513
Thái Nguyên,mien_nui_phia_bac,COM_0355,xa,20.5543,359.31,35.23,0.1249,2.5039,agricultural,1442.48,16.54,4113,200.12,21,4069,1038,210.31,1,observed,2055
Hưng Yên,dong_bang_song_hong,COM_0356,xa,62.3163,1.34,8.68,0.623,1.3891,forest,1247.01,47.54,38889,624.07,19,36790,8683,594.76,1,observed,6231
Thái Nguyên,mien_nui_phia_bac,COM_0357,thi_tran,25.1844,535.84,10.59,0.4453,2.9943,residential,1425.12,9.07,4245,168.58,13,3831,972,151.44,1,observed,2518
Điện Biên,mien_nui_phia_bac,COM_0358,xa,69.6,1274.69,7.13,0.5499,0.0913,agricultural,2166.02,45.73,4029,57.89,20,3714,754,56.1,0,MNAR_high_density,6959
Tuyên Quang,mien_nui_phia_bac,COM_0359,xa,31.6461,1343.01,19.06,0.115,0.7568,mixed,1728.19,7.28,2795,88.35,38,2961,693,90.28,1,observed,3164
Hưng Yên,dong_bang_song_hong,COM_0360,phuong,7.2556,11.66,6.06,0.45,7.7617,mixed,1595.12,3.16,8830,1217.07,9,8902,1696,1270.85,0,MAR,725
Điện Biên,mien_nui_phia_bac,COM_0361,xa,79.2318,1806.56,23.71,0.7294,0.9054,forest,2081.33,26.18,2899,36.6,27,2506,569,34.21,1,observed,7923
Nghệ An,duyen_hai_mien_trung,COM_0362,phuong,12.6463,241.07,6.5,0.45,2.0356,agricultural,2051.46,2.48,3684,291.36,14,3624,868,284.25,1,observed,1264
Hưng Yên,dong_bang_song_hong,COM_0363,xa,37.9475,0.79,74.21,0.1345,0.0692,forest,1674.44,38.07,14980,394.78,40,14191,3123,368.81,1,observed,3794
Sơn La,mien_nui_phia_bac,COM_0364,xa,42.3818,1465.81,46.31,0.7235,0.6447,forest,1588.62,14.41,1909,45.05,39,1873,481,47.41,0,MNAR_high_density,4238
Ninh Bình,dong_bang_song_hong,COM_0365,xa,24.5084,59.19,98.9,0.7773,2.3397,forest,1938.74,18.31,7575,309.08,5,6578,1402,247.95,1,observed,2450
Hà Nội,dong_bang_song_hong,COM_0366,xa,27.1531,6.7,31.42,0.3438,1.7402,agricultural,1580.78,21.18,77405,2850.72,32,66631,15364,2441.21,1,observed,2715
Đắk Lắk,tay_nguyen,COM_0367,xa,38.061,1085.05,89.83,0.2772,0.9337,mixed,1870.86,48.87,3288,86.4,20,2798,509,69.69,1,observed,3806
Bắc Ninh,dong_bang_song_hong,COM_0368,phuong,4.4795,19.16,6.47,0.4368,2.7214,residential,1476.37,3.63,6705,1496.83,19,7642,1524,1704.96,1,observed,447
Phú Thọ,mien_nui_phia_bac,COM_0369,xa,57.6939,104.98,11.84,0.1206,3.6707,agricultural,1796.4,49.47,28257,489.78,47,29102,5371,533.48,1,observed,5769
TP. Hồ Chí Minh,dong_nam_bo,COM_0370,xa,79.1706,9.32,77.35,0.5413,2.8644,agricultural,1569.91,3.24,263132,3323.61,30,281898,61079,3430.48,1,observed,7917
Ninh Bình,dong_bang_song_hong,COM_0371,thi_tran,16.5038,21.97,13.24,0.5232,0.5045,agricultural,1565.5,11.22,12918,782.78,47,11074,2057,618.43,0,MCAR,1650
Quảng Ngãi,duyen_hai_mien_trung,COM_0372,xa,26.944,692.47,62.87,0.2169,1.7243,agricultural,2720.75,30.83,2516,93.38,28,2368,669,87.09,1,observed,2694
Hưng Yên,dong_bang_song_hong,COM_0373,thi_tran,30.8158,16.95,8.65,0.2205,0.5388,agricultural,1581.13,19.75,23641,767.18,44,25457,6034,745.3,1,observed,3081
Ninh Bình,dong_bang_song_hong,COM_0374,xa,30.1187,22.69,44.74,0.3595,3.2035,mixed,2112.71,8.53,37895,1258.21,19,38098,9130,1178.16,0,MNAR_high_density,3011
Hà Nội,dong_bang_song_hong,COM_0375,xa,35.9522,48.46,78.98,0.6735,1.825,forest,1363.34,5.72,33483,931.33,38,34278,8895,1021.43,1,observed,3595
Gia Lai,tay_nguyen,COM_0376,xa,66.6934,696.41,67.12,0.2185,2.0069,residential,1754.87,31.95,7478,112.14,38,7784,1450,120.33,0,MNAR_high_density,6669
Thanh Hóa,duyen_hai_mien_trung,COM_0377,xa,26.8382,739.67,90.87,0.5153,2.5177,agricultural,1947.95,10.93,3501,130.46,37,3291,775,120.12,1,observed,2683
Hà Nội,dong_bang_song_hong,COM_0378,phuong,3.751,43.01,3.54,0.3886,2.4422,residential,1358.88,3.09,15263,4069.11,36,13430,3615,3304.92,1,observed,375
Đồng Tháp,dong_bang_song_cuu_long,COM_0379,xa,73.4458,4.88,33.67,0.6929,0.2001,forest,2184.17,23.06,18113,246.62,31,18245,4842,267.38,1,observed,7344
Lâm Đồng,tay_nguyen,COM_0380,xa,29.4182,2273.72,24.5,0.8008,0.7307,forest,2640.62,47.96,2133,72.52,46,2325,452,75.8,0,MNAR_high_density,2941
Cao Bằng,mien_nui_phia_bac,COM_0381,xa,52.83,838.32,83.68,0.7797,1.2075,forest,1972.05,20.36,2876,54.45,39,2950,789,59.07,0,MNAR_high_density,5283
Hưng Yên,dong_bang_song_hong,COM_0382,xa,64.041,16.55,61.38,0.5731,1.3874,agricultural,1632.05,36.44,50065,781.77,17,44703,11503,680.36,1,observed,6404
Khánh Hòa,tay_nguyen,COM_0383,xa,39.4488,659.17,37.62,0.5975,2.4908,residential,1538.27,11.92,41592,1054.34,47,39081,7318,988.04,1,observed,3944
Cao Bằng,mien_nui_phia_bac,COM_0384,xa,34.0535,746.49,11.82,0.2761,1.8937,mixed,1997.76,49.0,2598,76.32,5,2219,601,64.55,0,MNAR_high_density,3405
Quảng Ninh,dong_bang_song_hong,COM_0385,xa,50.6454,27.04,73.12,0.3001,3.5118,agricultural,1940.19,5.16,9029,178.29,34,8605,2138,162.37,1,observed,5064
Đồng Tháp,dong_bang_song_cuu_long,COM_0386,xa,38.7709,2.3,99.28,0.8541,1.4303,forest,1982.0,40.46,12883,332.31,36,13885,3773,372.61,1,observed,3877
Thanh Hóa,duyen_hai_mien_trung,COM_0387,xa,57.6742,754.96,81.24,0.4202,3.8057,agricultural,1522.58,13.74,11867,205.76,10,11989,3421,222.36,1,observed,5767
Hưng Yên,dong_bang_song_hong,COM_0388,phuong,6.7954,5.09,4.17,0.2576,4.0952,mixed,1394.08,1.79,9221,1357.09,18,10510,2312,1673.4,1,observed,679
Cà Mau,dong_bang_song_cuu_long,COM_0389,thi_tran,23.9448,5.67,22.24,0.4314,1.9326,residential,2610.53,5.77,3296,137.69,32,3360,716,129.83,0,MCAR,2394
Đắk Lắk,tay_nguyen,COM_0390,xa,78.0322,1024.61,99.97,0.7139,0.7905,forest,1958.46,10.52,4749,60.86,20,4768,990,63.01,1,observed,7803
Bắc Ninh,dong_bang_song_hong,COM_0391,xa,20.0495,17.96,38.62,0.199,0.7852,agricultural,1335.12,3.79,31352,1563.73,7,35719,9436,1858.12,1,observed,2004
Hà Nội,dong_bang_song_hong,COM_0392,xa,64.5391,29.54,67.08,0.3395,1.0034,agricultural,1293.26,43.84,91146,1412.27,29,98906,22597,1525.22,1,observed,6453
Đà Nẵng,duyen_hai_mien_trung,COM_0393,xa,52.3975,227.49,27.79,0.2967,0.7806,agricultural,2142.05,22.14,62552,1193.8,46,54723,9977,1116.44,1,observed,5239
Hải Phòng,dong_bang_song_hong,COM_0394,xa,47.0346,5.43,25.61,0.1762,0.0522,agricultural,1861.55,36.94,20909,444.56,9,18822,3959,386.27,1,observed,4703
Nghệ An,duyen_hai_mien_trung,COM_0395,xa,59.3488,809.24,71.21,0.7636,0.6918,forest,1797.56,33.69,6315,106.42,10,6618,1852,122.0,0,MNAR_high_density,5934
Hà Nội,dong_bang_song_hong,COM_0396,phuong,5.1824,8.06,9.43,0.45,8.2189,residential,1494.36,2.7,28888,5574.3,21,32807,7349,6904.26,1,observed,518
Lai Châu,mien_nui_phia_bac,COM_0397,xa,62.4049,2320.54,58.53,0.1543,0.4135,forest,2592.89,27.88,2689,43.09,19,2869,582,47.95,1,observed,6240
Sơn La,mien_nui_phia_bac,COM_0398,xa,76.9954,521.06,39.13,0.107,3.9257,mixed,1422.44,1.89,4785,62.15,46,4863,1142,58.68,1,observed,7699
Đắk Lắk,tay_nguyen,COM_0399,xa,31.4214,1282.91,41.05,0.8098,0.5385,forest,2087.8,27.68,1993,63.44,46,1982,455,64.05,1,observed,3142
Cà Mau,dong_bang_song_cuu_long,COM_0400,thi_tran,23.1171,5.84,16.74,0.6862,0.7948,forest,2671.25,6.02,4262,184.38,34,4855,959,203.63,1,observed,2311
Hà Nội,dong_bang_song_hong,COM_0401,xa,37.0345,41.84,15.11,0.8993,2.6795,forest,1590.08,5.43,89363,2412.98,25,96782,24838,2827.92,1,observed,3703
Thanh Hóa,duyen_hai_mien_trung,COM_0402,xa,21.5587,620.52,71.73,0.5364,3.2706,forest,2087.9,48.33,4650,215.72,11,3955,993,193.14,1,observed,2155
Nghệ An,duyen_hai_mien_trung,COM_0403,thi_tran,17.5896,374.0,18.63,0.4767,2.1401,residential,2062.89,5.21,3901,221.78,21,4281,1092,245.29,1,observed,1758
Thanh Hóa,duyen_hai_mien_trung,COM_0404,xa,46.9456,648.94,41.25,0.8874,1.4909,forest,1997.67,24.25,11269,240.06,19,11497,2426,262.1,1,observed,4694
Hà Tĩnh,duyen_hai_mien_trung,COM_0405,xa,72.4696,474.94,46.03,0.1949,1.5248,mixed,2749.09,38.63,13714,189.24,10,14060,3303,186.33,1,observed,7246
Đà Nẵng,duyen_hai_mien_trung,COM_0406,xa,62.8851,308.92,82.22,0.4241,2.4465,mixed,2851.33,46.08,21467,341.37,30,22546,4124,354.34,1,observed,6288
Đồng Tháp,dong_bang_song_cuu_long,COM_0407,xa,30.7606,2.18,9.97,0.4927,0.5933,agricultural,2388.3,47.48,19098,620.88,6,18386,4221,650.66,1,observed,3076
Lào Cai,mien_nui_phia_bac,COM_0408,xa,22.2533,2341.56,57.15,0.6791,0.1406,forest,2994.63,49.72,927,41.69,9,1032,201,49.27,0,MNAR_high_density,2225
Hà Nội,dong_bang_song_hong,COM_0409,phuong,4.6572,37.18,0.72,0.45,5.0172,mixed,1732.54,2.03,30671,6585.9,31,29834,6342,6963.81,1,observed,465
Thanh Hóa,duyen_hai_mien_trung,COM_0410,xa,20.6857,28.26,80.3,0.4918,0.6414,agricultural,1665.31,6.53,3862,186.71,10,3680,825,175.06,0,MNAR_high_density,2068
Thanh Hóa,duyen_hai_mien_trung,COM_0411,xa,55.4886,637.86,97.77,0.4128,0.6423,residential,2097.48,27.81,10341,186.37,49,9431,2401,166.14,1,observed,5548
Đồng Tháp,dong_bang_song_cuu_long,COM_0412,xa,31.3507,4.68,70.25,0.136,2.8819,residential,2439.86,36.19,8307,265.0,46,9072,1761,261.7,0,MNAR_high_density,3135
Khánh Hòa,tay_nguyen,COM_0413,xa,26.9728,158.11,81.37,0.2881,2.9614,agricultural,1388.02,15.66,6980,258.81,26,7056,1651,276.78,1,observed,2697
Lạng Sơn,mien_nui_phia_bac,COM_0414,xa,41.4559,678.92,51.92,0.785,3.0937,forest,1211.31,23.3,2301,55.52,26,2240,578,56.8,0,MAR,4145
Lâm Đồng,tay_nguyen,COM_0415,xa,51.2978,1913.65,74.46,0.7025,0.5926,forest,2490.5,12.7,2617,51.02,42,2940,715,61.27,0,MNAR_high_density,5129
Quảng Ngãi,duyen_hai_mien_trung,COM_0416,xa,38.2471,647.63,93.39,0.6049,2.5133,agricultural,2014.98,9.52,2454,64.17,18,2148,503,53.34,0,MNAR_high_density,3824
Đà Nẵng,duyen_hai_mien_trung,COM_0417,xa,66.8862,103.12,52.81,0.1946,1.7358,agricultural,2079.92,23.67,25162,376.2,50,24039,4635,385.98,1,observed,6688
TP. Hồ Chí Minh,dong_nam_bo,COM_0418,phuong,11.6816,34.9,5.56,0.2254,6.4549,residential,1671.5,1.92,144498,12369.77,17,141279,26821,11214.81,1,observed,1168
Thanh Hóa,duyen_hai_mien_trung,COM_0419,xa,58.0593,19.74,52.47,0.2224,0.2387,agricultural,2276.92,2.77,15391,265.1,14,14899,3984,243.22,1,observed,5805
Sơn La,mien_nui_phia_bac,COM_0420,xa,66.5843,627.82,57.35,0.4382,3.9664,forest,2148.16,8.12,3257,48.92,42,3386,748,55.86,0,MNAR_high_density,6658
Hà Nội,dong_bang_song_hong,COM_0421,xa,71.4543,23.14,41.58,0.6117,1.1025,residential,1486.73,21.43,237459,3323.24,38,228872,46981,3072.93,1,observed,7145
Quảng Ngãi,duyen_hai_mien_trung,COM_0422,thi_tran,25.2175,135.96,3.3,0.2146,4.412,agricultural,2334.04,3.19,9290,368.41,40,9747,2136,398.63,0,MNAR_high_density,2521
Thanh Hóa,duyen_hai_mien_trung,COM_0423,xa,39.2864,378.0,61.35,0.4147,2.0415,residential,1667.67,20.65,10485,266.89,49,11248,2083,283.97,0,MNAR_high_density,3928
Nghệ An,duyen_hai_mien_trung,COM_0424,xa,54.5719,643.39,81.33,0.7342,2.676,forest,2115.39,42.06,5245,96.13,22,4490,953,81.26,1,observed,5457
Sơn La,mien_nui_phia_bac,COM_0425,xa,72.6581,1138.37,14.17,0.1845,0.3047,agricultural,1797.12,37.69,2987,41.12,40,3076,574,45.15,1,observed,7265
Phú Thọ,mien_nui_phia_bac,COM_0426,xa,59.385,462.46,10.64,0.7158,1.1103,forest,1633.73,5.25,14847,250.02,26,16933,4061,307.42,1,observed,5938
Hà Nội,dong_bang_song_hong,COM_0427,thi_tran,36.0191,35.39,25.24,0.8807,4.2897,forest,1766.03,2.98,80906,2246.2,7,90588,16641,2618.03,1,observed,3601
Hà Nội,dong_bang_song_hong,COM_0428,xa,40.5417,20.41,46.8,0.2006,0.4123,forest,1593.31,33.48,27470,677.59,23,29762,5700,696.92,1,observed,4054
Hà Tĩnh,duyen_hai_mien_trung,COM_0429,xa,77.5875,576.46,82.8,0.4699,0.8807,agricultural,2738.3,18.81,11898,153.35,9,12094,2697,171.08,0,MCAR,7758
Lạng Sơn,mien_nui_phia_bac,COM_0430,xa,39.5578,471.27,66.61,0.1424,1.3944,forest,1305.51,11.83,2213,55.96,24,2062,375,56.49,0,MNAR_high_density,3955
Thái Nguyên,mien_nui_phia_bac,COM_0431,thi_tran,18.3613,453.78,26.81,0.3172,3.9884,residential,1469.16,6.22,3377,183.97,42,3309,829,187.28,1,observed,1836
Phú Thọ,mien_nui_phia_bac,COM_0432,thi_tran,23.5384,73.73,2.11,0.8452,3.602,forest,1737.11,7.15,5741,243.92,34,5672,1353,250.54,1,observed,2353
Phú Thọ,mien_nui_phia_bac,COM_0433,xa,33.5145,65.22,8.63,0.2073,2.3034,forest,1932.08,32.12,6794,202.74,43,7548,1687,212.88,1,observed,3351
Sơn La,mien_nui_phia_bac,COM_0434,thi_tran,13.9883,1342.06,21.64,0.3005,2.9933,agricultural,1843.27,13.36,995,71.15,33,940,234,73.76,0,MNAR_high_density,1398
Lạng Sơn,mien_nui_phia_bac,COM_0435,xa,60.908,249.53,17.46,0.6107,0.8773,agricultural,1667.48,15.01,3038,49.89,31,3374,906,52.03,1,observed,6090
Hà Nội,dong_bang_song_hong,COM_0436,xa,28.6339,0.7,26.82,0.2055,2.7268,residential,1503.8,35.02,148908,5200.42,6,159583,42418,5153.84,1,observed,2863
Bắc Ninh,dong_bang_song_hong,COM_0437,xa,30.1964,28.6,23.56,0.8675,3.0553,forest,1620.47,34.12,13252,438.89,6,12464,3107,430.2,1,observed,3019
Phú Thọ,mien_nui_phia_bac,COM_0438,xa,79.4618,122.42,80.62,0.7436,2.5953,forest,1567.32,48.29,14802,186.29,43,15659,3012,191.13,1,observed,7946
Đồng Nai,dong_nam_bo,COM_0439,xa,36.3768,113.76,18.77,0.7392,1.9903,forest,2196.52,42.2,7801,214.47,46,8470,2341,246.59,1,observed,3637
Hà Tĩnh,duyen_hai_mien_trung,COM_0440,xa,75.484,128.62,93.18,0.1251,3.0884,mixed,2194.05,4.58,9249,122.53,40,9300,1816,115.62,1,observed,7548
Quảng Ninh,dong_bang_song_hong,COM_0441,phuong,9.3103,195.93,6.66,0.45,5.3223,residential,1810.91,1.11,4880,524.16,21,4378,906,482.42,1,observed,931
Nghệ An,duyen_hai_mien_trung,COM_0442,phuong,7.73,767.76,3.45,0.4052,7.0368,residential,2173.55,0.95,1280,165.67,9,1402,263,182.6,1,observed,773
An Giang,dong_bang_song_cuu_long,COM_0443,xa,37.3691,10.03,96.62,0.3358,3.1495,forest,1894.46,5.3,12244,327.66,45,12012,3268,352.54,1,observed,3736
